Ticker,Predicted Close,Real Close,Yesterday's Close,Real Increase,Predicted Increase,Real Percentage Increase,Predicted Percentage Increase,Real Minus Predicted Percentage
CHRW,79.72918,92.57,90.77,1.7999999999999972,-11.040819999999997,0.01983034042084386,-0.12163512173625644,0.14146546215710032
COG,30.243793,23.37,24.6,-1.2300000000000004,5.643792999999999,-0.05000000000000002,0.22942247967479668,-0.2794224796747967
CDNS,46.406803,38.57,39.58,-1.009999999999998,6.826802999999998,-0.025517938352703336,0.17248112683173317,-0.1979990651844365
CPB,46.412777,44.8,45.14,-0.3400000000000034,1.2727769999999978,-0.007532122286220722,0.028196211785556,-0.035728334071776724
COF,87.48185,98.12,98.44,-0.3199999999999932,-10.958150000000003,-0.003250711093051536,-0.1113180617635108,0.10806735067045926
CAH,56.540955,65.14,65.44,-0.29999999999999716,-8.899045000000001,-0.004584352078239566,-0.1359878514669927,0.13140349938875312
KMX,68.55161,65.4,65.32,0.0800000000000125,3.2316100000000034,0.0012247397428048455,0.04947351500306191,-0.04824877526025706
CCL,66.94405,69.12,69.27,-0.14999999999999147,-2.3259499999999917,-0.0021654395842354767,-0.03357802800635184,0.03141258842211636
CAT,137.43434,154.34,156.41,-2.069999999999993,-18.975660000000005,-0.013234447925324425,-0.12131999232785631,0.10808554440253189
CBOE,120.40672,114.565,116.94,-2.375,3.4667200000000093,-0.020309560458354713,0.029645288181973744,-0.04995484864032845
CNC,97.339645,104.38,103.67,0.7099999999999937,-6.330354999999997,0.006848654384103345,-0.06106255425870548,0.06791120864280882
CNP,29.884043,26.36,26.32,0.03999999999999915,3.564042999999998,0.0015197568389057428,0.1354119680851063,-0.13389221124620057
CTL,13.908011,17.06,17.07,-0.010000000000001563,-3.161989,-0.0005858230814294999,-0.18523661394258933,0.18465079086115985
CERN,71.2958,63.48,63.99,-0.5100000000000051,7.305799999999998,-0.007969995311767543,0.11417096421315827,-0.12214095952492582
CF,35.991375,39.48,39.04,0.4399999999999977,-3.0486250000000013,0.01127049180327863,-0.07808977971311479,0.08936027151639342
SCHW,45.926476,52.03,52.86,-0.8299999999999983,-6.9335239999999985,-0.0157018539538403,-0.13116768823306846,0.11546583427922816
CHTR,329.16104,363.55,369.75,-6.199999999999989,-40.588959999999986,-0.01676808654496278,-0.10977406355645702,0.09300597701149424
CVX,116.700165,115.29,117.18,-1.8900000000000006,-0.47983500000000845,-0.01612903225806452,-0.004094854070660594,-0.012034178187403925
CMG,279.5098,272.21,304.33,-32.120000000000005,-24.8202,-0.10554332468044558,-0.08155686261623896,-0.023986462064206626
CB,149.5347,147.52,145.88,1.6400000000000148,3.654699999999991,0.01124211680833572,0.02505278310940493,-0.013810666301069212
