date,1. open,2. high,3. low,4. close,5. volume
2019-09-26,72.95,74.46,72.62,74.03,10347800.0
2019-09-25,72.88,73.24,72.02,72.09,5927500.0
2019-09-24,73.83,73.83,72.17,72.95,8226400.0
2019-09-23,72.33,73.78,72.05,72.93,8252500.0
2019-09-20,72.0,73.0,72.0,72.39,13084500.0
2019-09-19,71.4,71.91,71.21,71.67,5551500.0
2019-09-18,71.68,71.82,70.81,71.27,6259800.0
2019-09-17,70.51,72.09,70.36,71.6,9027700.0
2019-09-16,70.37,70.96,69.72,70.58,5983000.0
2019-09-13,71.15,71.51,70.48,70.51,8135200.0
2019-09-12,70.76,71.17,70.19,70.83,9559300.0
2019-09-11,68.38,69.74,68.06,69.49,8365600.0
2019-09-10,66.07,68.18,65.65,68.18,12153300.0
2019-09-09,67.96,68.0,66.31,66.7,10301800.0
2019-09-06,67.26,68.12,67.0,67.62,7502000.0
2019-09-05,66.64,67.3,66.43,67.03,5602400.0
2019-09-04,65.67,66.42,64.44,66.38,9618300.0
2019-09-03,65.78,65.8,64.93,65.4,7915700.0
2019-08-30,66.4,66.43,65.49,65.74,6415100.0
2019-08-29,66.73,67.03,65.96,66.22,6012000.0
2019-08-28,65.57,66.38,65.4,66.07,6873900.0
2019-08-27,66.67,66.98,65.49,65.67,7594500.0
2019-08-26,66.43,66.93,66.08,66.46,4841400.0
2019-08-23,67.28,67.79,65.48,65.97,8905100.0
2019-08-22,67.87,68.03,66.81,67.52,6496300.0
2019-08-21,67.34,67.92,66.6,67.54,7616600.0
2019-08-20,67.38,68.46,66.33,66.41,12043400.0
2019-08-19,65.04,66.88,64.97,66.56,9826300.0
2019-08-16,63.51,64.81,63.07,64.43,8348100.0
2019-08-15,64.12,64.24,62.66,62.98,9195700.0
2019-08-14,64.5,64.99,63.5,63.5,9373300.0
2019-08-13,64.86,65.93,64.64,65.01,7215100.0
2019-08-12,65.24,65.48,64.08,64.53,6034000.0
2019-08-09,65.37,66.87,64.29,65.58,10893500.0
